epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8204,1.44256,2.35338,1.51598,0.54926,0.43279,0.45734,0.22589,1.4991,2.4048,1.56912,0.000552417,0.000552417,0.000552417
2,50.5558,1.48809,1.80561,1.49479,0.4556,0.48978,0.47744,0.23215,1.56589,2.03599,1.64839,0.00108614,0.00108614,0.00108614
3,74.7714,1.52035,1.70508,1.54152,0.67639,0.34396,0.42317,0.20134,1.64331,3.12317,1.68969,0.00159787,0.00159787,0.00159787
4,98.6377,1.49111,1.57774,1.51636,0.61209,0.54019,0.58194,0.29286,1.54086,1.44407,1.56225,0.00156798,0.00156798,0.00156798
5,122.889,1.45464,1.45224,1.47016,0.70889,0.61565,0.67079,0.34304,1.43746,1.3531,1.50311,0.00153497,0.00153497,0.00153497
6,147.097,1.42821,1.39807,1.46039,0.66956,0.52181,0.58711,0.30731,1.41859,1.42895,1.49182,0.00150197,0.00150197,0.00150197
7,171.603,1.41074,1.35517,1.43964,0.5589,0.55024,0.55775,0.27463,1.52472,1.50619,1.56388,0.00146896,0.00146896,0.00146896
8,196.946,1.37839,1.32396,1.42229,0.79222,0.70083,0.78004,0.42896,1.34304,1.03155,1.42223,0.00143595,0.00143595,0.00143595
9,223.298,1.34926,1.23863,1.4067,0.66926,0.60869,0.67572,0.3565,1.38679,1.1977,1.45431,0.00140295,0.00140295,0.00140295
10,249.566,1.34421,1.23965,1.4049,0.76055,0.61059,0.71644,0.39916,1.36557,1.09495,1.44042,0.00136994,0.00136994,0.00136994
11,276.093,1.33012,1.18472,1.38849,0.77219,0.70426,0.78221,0.43431,1.29633,1.00963,1.39626,0.00133693,0.00133693,0.00133693
12,303.258,1.30766,1.16129,1.37745,0.72191,0.67035,0.74407,0.4304,1.26239,1.06121,1.36268,0.00130393,0.00130393,0.00130393
13,331.005,1.306,1.16471,1.37976,0.78127,0.68953,0.76917,0.43437,1.2698,1.03052,1.34609,0.00127092,0.00127092,0.00127092
14,359.598,1.28691,1.11338,1.35405,0.78226,0.74335,0.81231,0.47444,1.2314,0.89838,1.33613,0.00123791,0.00123791,0.00123791
15,387.708,1.27499,1.09806,1.34824,0.79069,0.73096,0.80935,0.4679,1.20756,0.93243,1.3075,0.00120491,0.00120491,0.00120491
16,416.034,1.25384,1.07294,1.34703,0.76012,0.74591,0.78372,0.45029,1.24612,0.9478,1.3378,0.0011719,0.0011719,0.0011719
17,444.235,1.25659,1.0534,1.34366,0.78904,0.7182,0.79384,0.44534,1.25752,0.94486,1.36745,0.00113889,0.00113889,0.00113889
