epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.744,2.46373,3.0982,0.00373,0.28765,0.16287,0.10438,0.05226,2.29563,2.07399,0.00433,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,278.638,2.38812,2.05577,0.00329,0.25623,0.20788,0.15251,0.07978,2.27788,1.88631,0.00412,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,475.956,2.38475,1.92357,0.00324,0.2813,0.25028,0.17491,0.0894,2.25139,1.90127,0.0041,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,688.757,2.36264,1.84424,0.00321,0.30434,0.24106,0.1883,0.09957,2.21584,1.77705,0.00403,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,915.597,2.33441,1.77995,0.00315,0.31575,0.26021,0.20722,0.10969,2.2026,1.70965,0.00399,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1142.9,2.32879,1.73527,0.0031,0.34684,0.27133,0.22129,0.11459,2.21386,1.68058,0.00406,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1382.35,2.30844,1.70099,0.00306,0.34034,0.25548,0.21427,0.11471,2.184,1.69487,0.00393,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1627.8,2.2905,1.67096,0.00301,0.34062,0.27604,0.22722,0.11898,2.20264,1.67762,0.00388,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1889.78,2.27048,1.64891,0.00299,0.35092,0.28236,0.23584,0.12365,2.17018,1.61747,0.00391,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2144.8,2.26776,1.6308,0.00294,0.36404,0.28098,0.23682,0.12496,2.15642,1.62885,0.00383,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2397.84,2.24602,1.61399,0.00293,0.35802,0.27505,0.23813,0.12447,2.15507,1.62806,0.00381,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2648.94,2.24045,1.61025,0.00291,0.36689,0.28061,0.24024,0.12864,2.12643,1.60449,0.0038,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2882.95,2.22866,1.59021,0.00291,0.38768,0.2889,0.25396,0.13447,2.12296,1.58676,0.00379,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3111.82,2.22492,1.58567,0.00287,0.37202,0.29077,0.25275,0.1343,2.1251,1.58991,0.00372,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3350.72,2.23469,1.57866,0.00285,0.37197,0.29686,0.25785,0.13784,2.09964,1.57033,0.00369,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3584.58,2.22333,1.56602,0.00286,0.39111,0.28971,0.25611,0.13545,2.13424,1.56862,0.00374,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3825.43,2.21949,1.55895,0.00283,0.38181,0.29453,0.2581,0.13885,2.1,1.58062,0.0037,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4064.83,2.21456,1.54626,0.00283,0.39719,0.29965,0.26359,0.14178,2.08063,1.53841,0.00367,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4307.85,2.19584,1.54073,0.00283,0.40014,0.29655,0.26281,0.14053,2.10698,1.56131,0.00371,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4556.58,2.19312,1.53033,0.0028,0.40197,0.30442,0.27141,0.14492,2.09911,1.54793,0.0037,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4848.7,2.18556,1.52667,0.00279,0.4097,0.30326,0.27331,0.1426,2.0865,1.52981,0.00368,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5119.74,2.18575,1.52368,0.00278,0.40669,0.30221,0.27487,0.14894,2.07241,1.5323,0.00366,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5372.64,2.1721,1.51382,0.00278,0.42166,0.30161,0.2722,0.14657,2.10209,1.53131,0.00367,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5632.82,2.17305,1.50337,0.00276,0.40755,0.30621,0.27646,0.14802,2.07234,1.50161,0.00363,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5874.2,2.16714,1.49845,0.00275,0.3996,0.31086,0.27448,0.14881,2.066,1.52469,0.0036,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,6106.74,2.17547,1.5021,0.00277,0.41469,0.30846,0.28059,0.15134,2.05133,1.50739,0.00361,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,6349.97,2.16862,1.4931,0.00272,0.41698,0.31435,0.28185,0.15026,2.07394,1.51299,0.0037,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,6613.47,2.16075,1.49067,0.00271,0.39487,0.30941,0.27625,0.14881,2.0754,1.51847,0.00361,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,6870.69,2.1603,1.48359,0.00271,0.40738,0.31277,0.2832,0.15308,2.06449,1.51073,0.00362,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7149.61,2.16359,1.47422,0.00271,0.40704,0.31453,0.28157,0.15008,2.06143,1.49647,0.00361,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,7451.46,2.15935,1.47782,0.00272,0.41053,0.31351,0.28508,0.15303,2.05689,1.499,0.00359,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,7751.57,2.15874,1.47006,0.0027,0.42223,0.31649,0.28754,0.15517,2.04771,1.48785,0.0036,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8056.64,2.15219,1.47164,0.00271,0.42281,0.30922,0.28674,0.15366,2.04498,1.48767,0.00356,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,8339.42,2.14903,1.46903,0.00268,0.40962,0.31933,0.28827,0.15575,2.05473,1.48181,0.00359,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,8616.17,2.14389,1.45655,0.00267,0.41935,0.32282,0.29318,0.15771,2.04889,1.49355,0.00355,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,8883.18,2.13378,1.4486,0.00268,0.41468,0.3179,0.29136,0.15761,2.04255,1.48539,0.00354,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9144.79,2.13357,1.45229,0.00267,0.42047,0.3248,0.29608,0.16019,2.04619,1.47659,0.00356,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,9426.69,2.13672,1.449,0.00266,0.42299,0.32109,0.29335,0.15975,2.05499,1.48816,0.00356,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,9687.25,2.13329,1.43869,0.00263,0.41559,0.32759,0.29537,0.15969,2.03516,1.46959,0.00353,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9972.28,2.12956,1.43987,0.00265,0.4224,0.32305,0.29367,0.15794,2.03195,1.48442,0.00351,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10269.8,2.11787,1.42969,0.00264,0.42175,0.32984,0.30045,0.16214,2.02706,1.45993,0.00351,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,10531.5,2.11734,1.43118,0.00264,0.43195,0.32759,0.30168,0.16334,2.02996,1.46916,0.00351,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,10775.2,2.12788,1.43445,0.00262,0.42116,0.32583,0.29596,0.16121,2.02954,1.47109,0.00352,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11003.4,2.11897,1.41811,0.00262,0.42503,0.32384,0.2945,0.16029,2.02779,1.45537,0.00351,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,11225.2,2.11465,1.41805,0.00261,0.43073,0.32905,0.30278,0.1642,2.01669,1.45022,0.0035,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,11450.7,2.11271,1.41148,0.00262,0.43399,0.33051,0.30194,0.16551,2.01349,1.4513,0.00348,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,11675.5,2.10625,1.41196,0.00261,0.41329,0.33408,0.29776,0.16358,2.01913,1.46125,0.00349,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11903.4,2.10894,1.4139,0.0026,0.42195,0.33629,0.30254,0.1653,2.01717,1.45285,0.00348,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12140.9,2.1049,1.40535,0.00258,0.43604,0.33419,0.30694,0.16758,2.01133,1.44802,0.00347,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12392.3,2.09805,1.40659,0.0026,0.44533,0.32808,0.30464,0.16742,2.01265,1.45173,0.00347,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12645.8,2.09691,1.39955,0.00257,0.42791,0.33329,0.30287,0.16573,2.01616,1.45039,0.00348,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12903.8,2.08811,1.39138,0.00258,0.43689,0.33368,0.30841,0.16935,1.9998,1.44281,0.00344,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13148.4,2.09248,1.39819,0.00258,0.43913,0.33106,0.30518,0.16693,2.01068,1.4439,0.00346,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13393.3,2.09074,1.39383,0.00256,0.43832,0.33338,0.30827,0.17007,2.0028,1.43996,0.00345,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13640.2,2.07511,1.38284,0.00257,0.43464,0.33067,0.30642,0.16853,2.00552,1.44364,0.00345,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,13898.5,2.085,1.38029,0.00255,0.42932,0.33273,0.30422,0.16735,2.00028,1.44411,0.00346,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14167.3,2.08237,1.38269,0.00255,0.41938,0.33563,0.30523,0.16811,1.99744,1.4454,0.00345,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
